MBs,B
38.1,13486
11.7,1141
12.2,1397
71.1,5424835
45.9,16357867
13.5,7861333
24.3,6974236
26.4,7662404
24.1,7923478
31.6,10633509
28.1,13729778
12.3,7838500
23.2,4810565
35.6,10111920
12.4,4558553
28.3,9976441
25.0,10160193
21.6,7107280
25.1,7567859
41.7,16325005
13.7,6511116
27.8,2511
3.76,4311383
37.0,7942945
17.5,9051592
33.1,12287734
4.17,4473577
24.4,4772259
27.1,6447635
18.2,8454877
20.4,5553405
43.4,8318593
9.36,3679049
65.3,11174036
11.6,4463319
33.0,8885711
18.2,5358427
27.8,7882696
18.5,6022565
13.5,11246146
28.5,11956490
24.1,10969834
10.0,3605198
31.4,7174449
32.3,10977417
19.9,9053549
27.6,8834407
26.8,8343320
27.5,11279495
32.4,14491458
7.39,3472821
54.6,5951879
26.8,12940109
25.1,9867931
33.6,20475364
13.0,7174449
28.1,1034
31.9,15013934
14.3,9761252
28.5,14054063
28.6,16261356
17.2,11216107
21.2,11254967
27.7,10959658
19.4,8578764
16.5,3345638
42.2,12158198
18.4,9407933
19.7,9830707
29.3,19159417
18.5,2059
8.97,4315449
20.7,4189449
32.3,7005099
15.7,5421089
31.8,9145561
26.8,6059910
34.3,14663718
28.6,18054703
2.94,1326893
53.6,11959329
21.3,8005769
17.6,7298814
22.9,6758376
34.3,9639353
38.4,27633940
12.1,8820005
30.2,9881016
21.1,9578016
19.1,6191501
37.4,11011292
18.0,8134492
14.8,4186767
12.5,6130909
30.8,5705333
24.3,8344490
24.6,8511162
15.8,4015806
33.2,6459163
31.1,1111
20.7,6435467
17.8,4513622
43.8,3940373
7.25,8513457
20.9,7072209
29.2,8778977
35.3,13805579
16.9,6956076
39.1,16882237
18.6,7222790
11.2,2141421
37.4,7770878
14.8,5236780
29.9,6663490
10.6,3292
2.57,547296
51.0,2444515
46.5,2368882
21.3,2684889
6.64,1450942
53.2,3049962
13.7,2476772
50.6,3294546
7.93,1215395
11.9,2076349
19.1,2857306
10.3,1364919
55.7,4550097
8.20,4109647
44.4,3112704
9.35,1888739
48.1,4160111
26.0,5360757
11.1,3393214
44.8,3561759
30.5,7808195
6.32,1891498
47.9,4034381
15.0,2726270
46.5,13487141
3.87,1561988
40.5,3029263
11.4,2137397
33.4,1277861
39.0,6758291
2.05,1316993
82.5,1579282
53.5,2441370
8.69,1326569
44.1,2227292
22.9,4652587
3.23,2216240
5.55,2654259
10.9,3195018
1.63,1724214
5.64,5105434
4.97,1451422
7.00,4094341
5.42,2593409
37.6,2150370
38.1,2092683
146,533
24.7,7467893
8.80,3256010
57.2,6726672
3.56,4499824
49.5,4573935
24.2,6449887
6.60,1292
9.23,11218172
34.3,15510123
20.9,10099693
32.1,13405287
15.8,6371783
35.8,14938571
17.7,7461921
19.7,7644979
30.7,8136050
16.6,4535204
22.7,5122729
31.2,15157725
23.0,12972000
25.2,8856839
18.7,6851503
22.5,5392165
17.7,4115714
32.6,1986
69.7,18518896
20.8,13131095
17.0,8036633
34.4,7012811
26.3,9990477
6.29,2667593
41.7,2389041
15.3,2362193
37.5,7451784
22.9,9216932
5.14,2009382
59.3,11085774
11.2,3710596
26.0,5535280
15.6,2852368
37.1,12686526
6.54,2335130
68.5,8229195
8.94,2313459
67.0,11701381
20.3,9494186
24.0,8136201
26.5,7368493
24.0,6463490
26.0,6899085
12.1,5279987
16.6,5501282
28.7,4738
19.6,6555901
18.1,3910341
32.7,5954043
10.3,1949704
36.4,9585288
14.8,5246400
13.1,2861142
35.5,5809691
30.2,7661563
12.0,2543331
13.6,1495710
16.1,2073425
14.1,1937904
29.4,5010602
14.2,2790717
14.3,2811509
11.0,1774806
17.5,2030943
27.5,5159679
13.7,4597479
37.3,9114492
6.31,1604966
21.9,5157368
16.1,3195000
54.5,5407120
15.8,4122383
65.3,12010984
11.4,3473077
25.7,5213819
5.55,4645145
52.1,9165021
21.6,6396654
28.7,7802598
10.5,2410659
41.7,2508500
46.7,16826653
4.28,1756446
49.7,4269979
21.4,4245534
23.6,4661272
17.9,3300163
29.7,5460158
11.3,2416096
61.7,7854194
8.94,5980394
23.9,7640301
30.3,10586158
6.99,3978012
33.1,1956796
38.2,8038934
24.0,8279901
25.7,6582077
22.7,5823932
7.71,1668663
35.0,1539763
48.9,2266691
24.5,3365903
29.3,6474636
16.2,4439984
29.9,1796321
16.0,2796373
57.8,5576814
9.92,2247806
38.6,2090547
48.1,5089009
35.0,10826392
27.2,10205994
98.3,891
25.5,11075844
17.9,7731803
44.4,16201110
32.8,26519115
38.3,37665201
3.30,2605755
49.4,2355137
33.3,4811679
28.3,7607275
19.5,5352725
50.2,25825160
9.32,2465
12.9,6883164
19.3,3175605
23.9,4978493
19.9,4015805
23.8,3398339
17.6,4850572
14.6,4273363
30.3,5028255
30.8,6332635
20.0,4756973
51.2,3842089
20.1,4014860
13.9,3873418
19.2,4089780
24.5,5535497
23.3,4959173
14.1,2721017
47.3,3070160
21.1,3184882
21.0,3352284
16.0,3047791
30.7,5219461
18.8,4782593
47.1,3957781
24.3,4863538
13.7,3426286
22.4,4470586
19.3,5170909
21.9,4860208
16.8,3458767
30.6,3885340
20.3,3449554
17.0,3524415
14.1,3175233
128,469
59.3,6242261
18.3,4300389
15.3,2493029
27.2,6131196
14.9,2505209
