MBs,B
391,3635
30.5,148
757,3635
681,3635
456,3635
553,3635
39.2,216
161,11510
48.9,225
836,4478
1012,7744
647,3472
787,6450
598,3642
228,10062
501,1992
1002,4212
1.38,6240
137,14326
383,3030
862,7652
215,1798
376,3635
362,3635
394,3635
443,3635
470,3404
486,4478
381,4478
566,4478
577,4478
41.9,221
344,5424835
562,16357867
597,7861333
600,6974236
566,7662404
600,7923478
592,10633509
571,13729778
614,7838500
599,4810565
580,10111920
343,4558553
528,9976441
578,10160193
566,7107280
578,7567859
414,16325005
487,6511116
2.07,7744
1.73,7744
2.46,7744
2.43,7744
374,4311383
479,7942945
482,9051592
511,12287734
586,4473577
596,4772259
596,6447635
359,8454877
576,5553405
577,8318593
569,3679049
481,11174036
574,4463319
455,8885711
503,5358427
456,7882696
482,6022565
502,11246146
424,11956490
424,10969834
250,3605198
488,7174449
562,10977417
424,9053549
578,8834407
511,8343320
495,11279495
454,14491458
315,3472821
579,5951879
564,12940109
564,9867931
567,20475364
354,7174449
670,3472
816,3472
841,3472
755,3472
443,15013934
477,9761252
561,14054063
487,16261356
513,11216107
578,11254967
361,10959658
486,8578764
371,3345638
461,12158198
411,9407933
510,9830707
493,19159417
1.52,6450
1.95,6450
2.06,6450
2.03,6450
495,4315449
495,4189449
517,7005099
500,5421089
482,9145561
494,6059910
481,14663718
432,18054703
497,1326893
421,11959329
507,8005769
584,7298814
533,6758376
471,9639353
557,27633940
537,8820005
519,9881016
506,9578016
565,6191501
567,11011292
508,8134492
588,4186767
544,6130909
588,5705333
579,8344490
574,8511162
571,4015806
422,6459163
467,3642
504,3642
442,3642
439,3642
452,6435467
570,4513622
478,3940373
518,8513457
578,7072209
539,8778977
555,13805579
534,6956076
547,16882237
557,7222790
587,2141421
464,7770878
592,5236780
535,6663490
207,10062
273,10062
293,10062
308,10062
490,547296
266,2444515
325,2368882
419,2684889
339,1450942
404,3049962
364,2476772
529,3294546
591,1215395
410,2076349
421,2857306
602,1364919
446,4550097
457,4109647
541,3112704
557,1888739
536,4160111
579,5360757
552,3393214
583,3561759
535,7808195
580,1891498
588,4034381
608,2726270
462,13487141
592,1561988
593,3029263
487,2137397
584,1277861
583,6758291
606,1316993
619,1579282
576,2441370
598,1326569
588,2227292
555,4652587
605,2216240
574,2654259
583,3195018
585,1724214
438,5105434
606,1451422
537,4094341
590,2593409
585,2150370
583,2092683
680,1992
774,1992
659,1992
748,1992
559,7467893
578,3256010
583,6726672
521,4499824
585,4573935
602,6449887
509,4212
604,4212
459,4212
656,4212
444,11218172
501,15510123
554,10099693
476,13405287
575,6371783
470,14938571
586,7461921
579,7644979
586,8136050
580,4535204
455,5122729
525,15157725
487,12972000
522,8856839
549,6851503
554,5392165
529,4115714
2.34,6240
2.29,6240
1.94,6240
2.01,6240
494,18518896
490,13131095
575,8036633
562,7012811
551,9990477
461,2667593
574,2389041
579,2362193
363,7451784
480,9216932
504,2009382
482,11085774
499,3710596
502,5535280
483,2852368
494,12686526
561,2335130
571,8229195
554,2313459
570,11701381
494,9494186
492,8136201
537,7368493
545,6463490
569,6899085
564,5279987
552,5501282
337,14326
315,14326
428,14326
428,14326
494,6555901
536,3910341
574,5954043
569,1949704
555,9585288
582,5246400
479,2861142
563,5809691
560,7661563
555,2543331
582,1495710
575,2073425
586,1937904
573,5010602
583,2790717
585,2811509
587,1774806
608,2030943
576,5159679
584,4597479
510,9114492
230,1604966
528,5157368
560,3195000
584,5407120
594,4122383
567,12010984
586,3473077
495,5213819
442,4645145
562,9165021
581,6396654
516,7802598
581,2410659
589,2508500
566,16826653
599,1756446
589,4269979
589,4245534
573,4661272
578,3300163
571,5460158
589,2416096
577,7854194
578,5980394
559,7640301
549,10586158
580,3978012
580,1956796
579,8038934
585,8279901
603,6582077
588,5823932
621,1668663
310,1539763
381,2266691
531,3365903
565,6474636
510,4439984
496,1796321
558,2796373
590,5576814
568,2247806
486,2090547
500,5089009
527,10826392
580,10205994
954,3030
962,3030
950,3030
739,3030
571,11075844
574,7731803
437,16201110
519,26519115
485,37665201
475,2605755
329,2355137
476,4811679
532,7607275
544,5352725
532,25825160
2.13,7652
2.13,7652
2.27,7652
2.23,7652
574,6883164
300,3175605
563,4978493
488,4015805
483,3398339
498,4850572
462,4273363
502,5028255
493,6332635
533,4756973
586,3842089
546,4014860
577,3873418
574,4089780
578,5535497
580,4959173
564,2721017
549,3070160
533,3184882
568,3352284
574,3047791
565,5219461
550,4782593
566,3957781
585,4863538
585,3426286
600,4470586
551,5170909
564,4860208
588,3458767
550,3885340
548,3449554
571,3524415
498,3175233
584,1798
665,1798
680,1798
604,1798
366,6242261
571,4300389
527,2493029
441,6131196
590,2505209
334,4478
941,4478
1.48,4478
1.57,4478
2.50,7744
1.82,7744
2.53,7744
848,7744
419,3472
426,3472
421,3472
1.07,3472
733,6450
733,6450
790,6450
787,6450
472,3642
478,3642
545,3642
481,3642
91.9,10062
149,10062
150,10062
159,10062
352,1992
350,1992
365,1992
378,1992
742,4212
662,4212
655,4212
679,4212
781,6240
572,6240
753,6240
780,6240
189,14326
189,14326
150,14326
191,14326
401,3030
416,3030
333,3030
300,3030
1.05,7652
994,7652
1.07,7652
1.02,7652
286,1798
250,1798
300,1798
253,1798
