MBs,B
251,3635
14.1,148
440,3635
474,3635
325,3635
484,3635
27.8,216
126,11510
23.0,225
404,4478
595,7744
432,3472
528,6450
309,3642
119,10062
269,1992
509,4212
550,6240
175,14326
386,3030
1022,7652
272,1798
539,3635
518,3635
526,3635
507,3635
501,3404
553,4478
545,4478
532,4478
544,4478
22.1,221
80.8,5424835
75.6,16357867
31.6,7861333
90.4,6974236
88.7,7662404
81.1,7923478
79.4,10633509
56.9,13729778
38.7,7838500
76.1,4810565
35.0,10111920
1.51,4558553
5.11,9976441
17.0,10160193
12.5,7107280
13.2,7567859
12.2,16325005
26.7,6511116
1.30,7744
804,7744
1.09,7744
1.25,7744
24.9,4311383
93.2,7942945
8.27,9051592
21.7,12287734
31.0,4473577
93.2,4772259
80.0,6447635
73.4,8454877
92.1,5553405
84.8,8318593
70.1,3679049
67.1,11174036
34.7,4463319
78.6,8885711
78.5,5358427
76.7,7882696
78.7,6022565
75.4,11246146
68.5,11956490
52.2,10969834
27.1,3605198
89.0,7174449
70.0,10977417
57.0,9053549
74.6,8834407
81.9,8343320
75.2,11279495
59.8,14491458
20.9,3472821
78.3,5951879
84.0,12940109
39.5,9867931
65.0,20475364
23.8,7174449
444,3472
442,3472
453,3472
422,3472
83.6,15013934
32.5,9761252
80.2,14054063
39.8,16261356
70.6,11216107
65.6,11254967
52.6,10959658
47.2,8578764
92.5,3345638
74.7,12158198
53.7,9407933
71.8,9830707
73.6,19159417
765,6450
752,6450
729,6450
770,6450
16.7,4315449
81.8,4189449
69.1,7005099
94.8,5421089
85.6,9145561
79.1,6059910
81.8,14663718
50.8,18054703
22.3,1326893
76.3,11959329
41.7,8005769
91.5,7298814
6.81,6758376
12.5,9639353
74.0,27633940
15.6,8820005
72.6,9881016
71.3,9578016
69.4,6191501
83.3,11011292
72.6,8134492
69.8,4186767
78.7,6130909
92.1,5705333
79.0,8344490
75.6,8511162
86.9,4015806
93.4,6459163
708,3642
683,3642
735,3642
727,3642
91.0,6435467
83.5,4513622
85.7,3940373
65.1,8513457
78.8,7072209
54.8,8778977
80.0,13805579
22.6,6956076
77.6,16882237
32.5,7222790
63.1,2141421
89.8,7770878
93.4,5236780
91.1,6663490
101,10062
146,10062
106,10062
109,10062
30.5,547296
97.5,2444515
98.7,2368882
98.4,2684889
100,1450942
97.9,3049962
99.4,2476772
91.9,3294546
122,1215395
61.5,2076349
98.6,2857306
103,1364919
89.3,4550097
82.3,4109647
92.6,3112704
105,1888739
81.0,4160111
90.9,5360757
91.2,3393214
49.0,3561759
84.7,7808195
59.8,1891498
82.7,4034381
97.8,2726270
85.0,13487141
8.93,1561988
89.9,3029263
94.8,2137397
102,1277861
88.9,6758291
101,1316993
99.2,1579282
92.8,2441370
53.8,1326569
93.8,2227292
88.5,4652587
95.3,2216240
96.9,2654259
98.2,3195018
104,1724214
79.8,5105434
100,1451422
68.0,4094341
97.0,2593409
38.9,2150370
30.5,2092683
267,1992
267,1992
263,1992
248,1992
87.2,7467893
82.5,3256010
86.0,6726672
73.0,4499824
73.9,4573935
79.4,6449887
531,4212
523,4212
522,4212
695,4212
74.5,11218172
77.3,15510123
40.0,10099693
47.0,13405287
36.8,6371783
84.6,14938571
37.5,7461921
23.2,7644979
92.2,8136050
87.9,4535204
76.6,5122729
78.5,15157725
46.5,12972000
40.5,8856839
76.7,6851503
93.7,5392165
85.7,4115714
750,6240
734,6240
720,6240
735,6240
77.2,18518896
43.0,13131095
26.0,8036633
88.4,7012811
81.3,9990477
68.8,2667593
96.3,2389041
95.0,2362193
75.0,7451784
76.2,9216932
61.4,2009382
75.7,11085774
42.0,3710596
94.5,5535280
98.8,2852368
84.4,12686526
16.6,2335130
93.4,8229195
97.2,2313459
75.0,11701381
46.8,9494186
72.8,8136201
91.0,7368493
90.2,6463490
93.1,6899085
38.7,5279987
38.4,5501282
267,14326
202,14326
123,14326
127,14326
92.5,6555901
70.1,3910341
91.7,5954043
103,1949704
73.4,9585288
12.2,5246400
12.6,2861142
52.4,5809691
49.5,7661563
98.4,2543331
101,1495710
94.9,2073425
55.5,1937904
76.7,5010602
91.3,2790717
37.3,2811509
93.3,1774806
106,2030943
77.4,5159679
88.6,4597479
73.7,9114492
41.4,1604966
93.2,5157368
98.1,3195000
91.3,5407120
25.5,4122383
74.4,12010984
28.8,3473077
76.4,5213819
55.7,4645145
62.0,9165021
76.6,6396654
79.8,7802598
15.9,2410659
50.3,2508500
81.4,16826653
590,1756446
48.5,4269979
67.3,4245534
88.4,4661272
71.7,3300163
89.3,5460158
95.5,2416096
92.5,7854194
95.1,5980394
91.9,7640301
82.8,10586158
4.00,3978012
3.08,1956796
29.9,8038934
91.5,8279901
91.6,6582077
37.3,5823932
5.79,1668663
6.16,1539763
4.25,2266691
4.88,3365903
34.8,6474636
8.12,4439984
6.86,1796321
9.07,2796373
10.4,5576814
27.6,2247806
20.4,2090547
22.2,5089009
34.4,10826392
46.2,10205994
321,3030
445,3030
332,3030
303,3030
70.1,11075844
20.0,7731803
78.0,16201110
52.7,26519115
42.7,37665201
3.83,2605755
230,2355137
91.2,4811679
89.4,7607275
91.0,5352725
82.7,25825160
906,7652
1.29,7652
1.30,7652
1.32,7652
11.2,6883164
92.0,3175605
93.6,4978493
86.7,4015805
89.9,3398339
88.0,4850572
84.7,4273363
93.6,5028255
92.8,6332635
92.4,4756973
87.0,3842089
24.3,4014860
28.4,3873418
86.0,4089780
91.4,5535497
92.8,4959173
36.6,2721017
98.7,3070160
91.0,3184882
95.8,3352284
92.0,3047791
94.1,5219461
89.7,4782593
85.7,3957781
93.0,4863538
90.9,3426286
17.4,4470586
93.7,5170909
94.6,4860208
89.9,3458767
86.9,3885340
90.1,3449554
95.2,3524415
91.8,3175233
225,1798
209,1798
286,1798
355,1798
93.5,6242261
83.6,4300389
66.3,2493029
92.4,6131196
94.9,2505209
535,4478
478,4478
531,4478
580,4478
955,7744
672,7744
937,7744
919,7744
473,3472
585,3472
590,3472
563,3472
1.01,6450
1006,6450
1.00,6450
1017,6450
596,3642
626,3642
622,3642
612,3642
152,10062
159,10062
145,10062
157,10062
349,1992
351,1992
346,1992
281,1992
567,4212
571,4212
567,4212
568,4212
800,6240
776,6240
799,6240
795,6240
170,14326
168,14326
172,14326
169,14326
411,3030
415,3030
421,3030
419,3030
955,7652
946,7652
927,7652
953,7652
244,1798
262,1798
257,1798
257,1798
