MBs,B
173,3635
20.3,148
737,3635
465,3635
301,3635
454,3635
30.2,216
178,11510
31.5,225
557,4478
652,7744
493,3472
579,6450
309,3642
129,10062
281,1992
546,4212
311,6240
131,14326
362,3030
689,7652
190,1798
461,3635
453,3635
399,3635
422,3635
436,3404
565,4478
546,4478
567,4478
569,4478
31.8,221
339,5424835
509,16357867
562,7861333
541,6974236
536,7662404
539,7923478
533,10633509
529,13729778
539,7838500
542,4810565
536,10111920
528,4558553
448,9976441
516,10160193
593,7107280
597,7567859
586,16325005
597,6511116
2.17,7744
1.16,7744
2.14,7744
2.26,7744
611,4311383
471,7942945
446,9051592
457,12287734
384,4473577
418,4772259
448,6447635
406,8454877
414,5553405
609,8318593
593,3679049
600,11174036
441,4463319
610,8885711
575,5358427
600,7882696
316,6022565
464,11246146
583,11956490
466,10969834
329,3605198
599,7174449
393,10977417
610,9053549
507,8834407
516,8343320
522,11279495
577,14491458
593,3472821
593,5951879
607,12940109
415,9867931
515,20475364
518,7174449
887,3472
973,3472
1.23,3472
1.20,3472
373,15013934
603,9761252
497,14054063
567,16261356
540,11216107
586,11254967
415,10959658
492,8578764
483,3345638
492,12158198
548,9407933
465,9830707
576,19159417
1.96,6450
2.18,6450
1.99,6450
2.25,6450
608,4315449
371,4189449
602,7005099
594,5421089
611,9145561
607,6059910
573,14663718
596,18054703
590,1326893
505,11959329
597,8005769
575,7298814
482,6758376
468,9639353
485,27633940
521,8820005
586,9881016
598,9578016
601,6191501
595,11011292
566,8134492
599,4186767
526,6130909
603,5705333
482,8344490
584,8511162
604,4015806
615,6459163
1.36,3642
1.36,3642
1.28,3642
1.17,3642
602,6435467
605,4513622
609,3940373
600,8513457
607,7072209
612,8778977
586,13805579
575,6956076
587,16882237
320,7222790
537,2141421
496,7770878
584,5236780
590,6663490
230,10062
249,10062
246,10062
247,10062
586,547296
584,2444515
591,2368882
564,2684889
600,1450942
574,3049962
596,2476772
584,3294546
550,1215395
583,2076349
599,2857306
577,1364919
452,4550097
603,4109647
607,3112704
599,1888739
586,4160111
597,5360757
601,3393214
613,3561759
542,7808195
608,1891498
603,4034381
508,2726270
473,13487141
485,1561988
482,3029263
486,2137397
476,1277861
485,6758291
479,1316993
486,1579282
488,2441370
361,1326569
351,2227292
470,4652587
481,2216240
487,2654259
471,3195018
562,1724214
316,5105434
471,1451422
487,4094341
439,2593409
354,2150370
351,2092683
161,1992
528,1992
188,1992
626,1992
506,7467893
582,3256010
499,6726672
571,4499824
603,4573935
605,6449887
1.32,4212
1.23,4212
1.29,4212
1.31,4212
590,11218172
583,15510123
501,10099693
499,13405287
410,6371783
481,14938571
385,7461921
502,7644979
600,8136050
601,4535204
583,5122729
463,15157725
522,12972000
472,8856839
367,6851503
311,5392165
595,4115714
1.90,6240
2.15,6240
1.86,6240
1.85,6240
521,18518896
538,13131095
546,8036633
585,7012811
538,9990477
590,2667593
598,2389041
579,2362193
562,7451784
573,9216932
257,2009382
479,11085774
483,3710596
486,5535280
493,2852368
488,12686526
509,2335130
550,8229195
612,2313459
522,11701381
481,9494186
538,8136201
572,7368493
330,6463490
551,6899085
545,5279987
541,5501282
160,14326
184,14326
230,14326
205,14326
529,6555901
543,3910341
543,5954043
360,1949704
418,9585288
517,5246400
551,2861142
513,5809691
541,7661563
557,2543331
558,1495710
553,2073425
579,1937904
564,5010602
555,2790717
562,2811509
549,1774806
606,2030943
479,5159679
551,4597479
545,9114492
568,1604966
546,5157368
556,3195000
550,5407120
546,4122383
535,12010984
542,3473077
524,5213819
483,4645145
555,9165021
587,6396654
511,7802598
598,2410659
619,2508500
586,16826653
605,1756446
606,4269979
595,4245534
605,4661272
615,3300163
493,5460158
563,2416096
572,7854194
572,5980394
597,7640301
593,10586158
575,3978012
509,1956796
477,8038934
524,8279901
594,6582077
586,5823932
583,1668663
561,1539763
604,2266691
609,3365903
591,6474636
540,4439984
507,1796321
606,2796373
611,5576814
609,2247806
610,2090547
508,5089009
493,10826392
477,10205994
980,3030
1.14,3030
961,3030
976,3030
511,11075844
594,7731803
580,16201110
565,26519115
546,37665201
686,2605755
507,2355137
602,4811679
586,7607275
603,5352725
572,25825160
1.67,7652
1.69,7652
849,7652
1.63,7652
473,6883164
489,3175605
496,4978493
517,4015805
507,3398339
497,4850572
502,4273363
519,5028255
592,6332635
592,4756973
588,3842089
586,4014860
583,3873418
605,4089780
602,5535497
607,4959173
616,2721017
590,3070160
604,3184882
484,3352284
512,3047791
506,5219461
534,4782593
549,3957781
587,4863538
384,3426286
423,4470586
447,5170909
580,4860208
598,3458767
271,3885340
651,3449554
534,3524415
582,3175233
574,1798
605,1798
714,1798
626,1798
548,6242261
488,4300389
572,2493029
586,6131196
600,2505209
1.41,4478
1.24,4478
887,4478
818,4478
1.51,7744
968,7744
1.34,7744
1.34,7744
649,3472
662,3472
464,3472
436,3472
896,6450
1.05,6450
978,6450
1.92,6450
1.40,3642
1.37,3642
1.42,3642
1.49,3642
342,10062
234,10062
135,10062
135,10062
340,1992
565,1992
481,1992
487,1992
981,4212
1.56,4212
1.61,4212
1.58,4212
866,6240
901,6240
916,6240
922,6240
209,14326
139,14326
253,14326
302,14326
389,3030
413,3030
455,3030
469,3030
1.08,7652
1.07,7652
1.07,7652
1.08,7652
512,1798
187,1798
181,1798
471,1798
