MBs,B
89.4,3636
7.76,148
119,3636
119,3636
120,3636
117,3636
10.8,216
80.4,11510
11.9,225
137,4479
253,7745
175,3473
230,6451
182,3643
96.6,10063
119,1993
199,4213
164,6241
80.8,14327
107,3031
180,7653
73.3,1799
120,3636
119,3636
119,3636
120,3636
115,3404
136,4479
135,4479
136,4479
137,4479
11.6,221
282,5424835
310,16357867
320,7861333
309,6974236
324,7662404
327,7923478
289,10633509
303,13729778
336,7838500
329,4810565
316,10111920
198,4558553
232,9976441
323,10160193
287,7107280
291,7567859
295,16325005
324,6511116
449,7745
231,7745
502,7745
497,7745
324,4311383
315,7942945
320,9051592
328,12287734
318,4473577
318,4772259
317,6447635
248,8454877
321,5553405
315,8318593
314,3679049
311,11174036
324,4463319
322,8885711
318,5358427
322,7882696
314,6022565
315,11246146
301,11956490
320,10969834
312,3605198
320,7174449
318,10977417
316,9053549
287,8834407
241,8343320
305,11279495
316,14491458
310,3472821
319,5951879
315,12940109
332,9867931
320,20475364
329,7174449
322,3473
327,3473
322,3473
318,3473
307,15013934
312,9761252
283,14054063
285,16261356
261,11216107
249,11254967
195,10959658
226,8578764
218,3345638
280,12158198
284,9407933
315,9830707
314,19159417
431,6451
439,6451
169,6451
170,6451
208,4315449
285,4189449
312,7005099
240,5421089
297,9145561
312,6059910
298,14663718
311,18054703
315,1326893
304,11959329
321,8005769
320,7298814
322,6758376
283,9639353
286,27633940
311,8820005
310,9881016
293,9578016
295,6191501
269,11011292
271,8134492
302,4186767
318,6130909
293,5705333
302,8344490
294,8511162
291,4015806
290,6459163
306,3643
235,3643
325,3643
324,3643
320,6435467
296,4513622
317,3940373
296,8513457
318,7072209
295,8778977
308,13805579
312,6956076
280,16882237
315,7222790
321,2141421
279,7770878
294,5236780
289,6663490
121,10063
86.5,10063
90.4,10063
90.4,10063
161,547296
152,2444515
280,2368882
312,2684889
267,1450942
240,3049962
286,2476772
309,3294546
321,1215395
306,2076349
221,2857306
293,1364919
235,4550097
295,4109647
324,3112704
328,1888739
252,4160111
314,5360757
324,3393214
319,3561759
319,7808195
242,1891498
282,4034381
319,2726270
301,13487141
322,1561988
323,3029263
318,2137397
323,1277861
273,6758291
316,1316993
304,1579282
228,2441370
314,1326569
305,2227292
254,4652587
305,2216240
231,2654259
313,3195018
321,1724214
212,5105434
291,1451422
227,4094341
294,2593409
295,2150370
295,2092683
163,1993
187,1993
198,1993
211,1993
253,7467893
294,3256010
295,6726672
234,4499824
295,4573935
285,6449887
288,4213
321,4213
381,4213
384,4213
259,11218172
296,15510123
293,10099693
298,13405287
320,6371783
317,14938571
319,7461921
311,7644979
287,8136050
316,4535204
326,5122729
320,15157725
331,12972000
254,8856839
302,6851503
285,5392165
319,4115714
446,6241
435,6241
450,6241
452,6241
305,18518896
299,13131095
291,8036633
290,7012811
295,9990477
310,2667593
236,2389041
309,2362193
322,7451784
317,9216932
313,2009382
315,11085774
264,3710596
306,5535280
317,2852368
315,12686526
316,2335130
319,8229195
316,2313459
321,11701381
317,9494186
319,8136201
259,7368493
321,6463490
320,6899085
242,5279987
320,5501282
161,14327
221,14327
111,14327
113,14327
235,6555901
269,3910341
320,5954043
311,1949704
321,9585288
309,5246400
175,2861142
244,5809691
316,7661563
305,2543331
316,1495710
293,2073425
310,1937904
314,5010602
265,2790717
307,2811509
317,1774806
321,2030943
313,5159679
277,4597479
289,9114492
290,1604966
294,5157368
286,3195000
297,5407120
297,4122383
285,12010984
182,3473077
242,5213819
228,4645145
313,9165021
316,6396654
314,7802598
311,2410659
322,2508500
321,16826653
322,1756446
255,4269979
269,4245534
316,4661272
316,3300163
317,5460158
314,2416096
319,7854194
315,5980394
316,7640301
311,10586158
315,3978012
303,1956796
317,8038934
291,8279901
289,6582077
317,5823932
306,1668663
238,1539763
247,2266691
312,3365903
318,6474636
303,4439984
314,1796321
244,2796373
309,5576814
306,2247806
227,2090547
316,5089009
319,10826392
276,10205994
287,3031
299,3031
296,3031
299,3031
258,11075844
320,7731803
300,16201110
312,26519115
304,37665201
310,2605755
316,2355137
313,4811679
321,7607275
325,5352725
314,25825160
397,7653
506,7653
527,7653
526,7653
274,6883164
322,3175605
323,4978493
322,4015805
325,3398339
297,4850572
296,4273363
324,5028255
319,6332635
317,4756973
316,3842089
310,4014860
320,3873418
320,4089780
321,5535497
322,4959173
320,2721017
321,3070160
186,3184882
293,3352284
319,3047791
315,5219461
317,4782593
285,3957781
227,4863538
184,3426286
324,4470586
320,5170909
319,4860208
316,3458767
317,3885340
319,3449554
321,3524415
316,3175233
190,1799
197,1799
202,1799
195,1799
250,6242261
306,4300389
313,2493029
305,6131196
316,2505209
364,4479
212,4479
371,4479
373,4479
483,7745
477,7745
489,7745
496,7745
119,3473
117,3473
124,3473
127,3473
181,6451
179,6451
180,6451
183,6451
133,3643
130,3643
131,3643
128,3643
64.5,10063
63.8,10063
63.8,10063
63.8,10063
86.2,1993
86.7,1993
87.0,1993
86.8,1993
142,4213
142,4213
144,4213
145,4213
179,6241
179,6241
136,6241
180,6241
87.5,14327
87.3,14327
88.5,14327
88.3,14327
79.1,3031
117,3031
117,3031
105,3031
180,7653
179,7653
181,7653
180,7653
74.1,1799
74.0,1799
74.9,1799
81.3,1799
