MBs,B
89.7,3636
7.91,148
113,3636
120,3636
121,3636
121,3636
11.6,216
91.9,11510
12.1,225
138,4479
169,7745
121,3473
155,6451
127,3643
64.1,10063
80.2,1993
99.4,4213
170,6241
82.1,14327
94.3,3031
403,7653
223,1799
130,3636
131,3636
123,3636
123,3636
118,3404
113,4479
364,4479
138,4479
134,4479
11.6,221
225,5424835
279,16357867
275,7861333
290,6974236
290,7662404
314,7923478
314,10633509
300,13729778
315,7838500
250,4810565
274,10111920
306,4558553
295,9976441
313,10160193
270,7107280
307,7567859
310,16325005
316,6511116
490,7745
351,7745
504,7745
183,7745
226,4311383
292,7942945
277,9051592
279,12287734
285,4473577
300,4772259
295,6447635
293,8454877
274,5553405
249,8318593
277,3679049
284,11174036
273,4463319
281,8885711
246,5358427
307,7882696
309,6022565
310,11246146
308,11956490
278,10969834
275,3605198
275,7174449
285,10977417
318,9053549
315,8834407
309,8343320
308,11279495
297,14491458
268,3472821
287,5951879
260,12940109
278,9867931
281,20475364
251,7174449
307,3473
319,3473
328,3473
181,3473
246,15013934
257,9761252
297,14054063
309,16261356
299,11216107
292,11254967
271,10959658
259,8578764
261,3345638
290,12158198
304,9407933
297,9830707
305,19159417
432,6451
449,6451
449,6451
464,6451
306,4315449
312,4189449
276,7005099
289,5421089
249,9145561
309,6059910
25.5,14663718
304,18054703
316,1326893
302,11959329
297,8005769
314,7298814
275,6758376
275,9639353
303,27633940
265,8820005
277,9881016
307,9578016
309,6191501
217,11011292
251,8134492
309,4186767
304,6130909
299,5705333
272,8344490
304,8511162
275,4015806
277,6459163
297,3643
331,3643
331,3643
334,3643
290,6435467
305,4513622
297,3940373
307,8513457
238,7072209
289,8778977
309,13805579
235,6956076
300,16882237
298,7222790
287,2141421
293,7770878
275,5236780
280,6663490
114,10063
179,10063
168,10063
153,10063
326,547296
319,2444515
302,2368882
304,2684889
301,1450942
270,3049962
306,2476772
296,3294546
310,1215395
307,2076349
258,2857306
303,1364919
279,4550097
303,4109647
307,3112704
270,1888739
275,4160111
296,5360757
300,3393214
284,3561759
279,7808195
227,1891498
305,4034381
304,2726270
299,13487141
317,1561988
272,3029263
308,2137397
307,1277861
267,6758291
264,1316993
274,1579282
309,2441370
141,1326569
244,2227292
304,4652587
256,2216240
283,2654259
299,3195018
301,1724214
303,5105434
266,1451422
267,4094341
274,2593409
285,2150370
317,2092683
221,1993
208,1993
214,1993
241,1993
292,7467893
294,3256010
278,6726672
294,4499824
284,4573935
314,6449887
395,4213
268,4213
397,4213
398,4213
286,11218172
302,15510123
311,10099693
322,13405287
244,6371783
307,14938571
308,7461921
263,7644979
303,8136050
306,4535204
290,5122729
303,15157725
285,12972000
301,8856839
285,6851503
283,5392165
308,4115714
427,6241
426,6241
430,6241
179,6241
279,18518896
298,13131095
292,8036633
250,7012811
303,9990477
325,2667593
316,2389041
305,2362193
294,7451784
272,9216932
198,2009382
269,11085774
195,3710596
269,5535280
303,2852368
309,12686526
313,2335130
307,8229195
303,2313459
267,11701381
304,9494186
258,8136201
260,7368493
276,6463490
301,6899085
286,5279987
303,5501282
168,14327
191,14327
218,14327
216,14327
267,6555901
313,3910341
290,5954043
312,1949704
294,9585288
277,5246400
310,2861142
295,5809691
293,7661563
263,2543331
286,1495710
307,2073425
247,1937904
249,5010602
269,2790717
278,2811509
269,1774806
225,2030943
257,5159679
302,4597479
294,9114492
312,1604966
257,5157368
303,3195000
284,5407120
203,4122383
258,12010984
303,3473077
307,5213819
311,4645145
304,9165021
316,6396654
302,7802598
306,2410659
303,2508500
307,16826653
275,1756446
299,4269979
303,4245534
299,4661272
308,3300163
281,5460158
298,2416096
269,7854194
290,5980394
248,7640301
307,10586158
308,3978012
307,1956796
285,8038934
303,8279901
303,6582077
290,5823932
275,1668663
187,1539763
194,2266691
216,3365903
282,6474636
235,4439984
290,1796321
213,2796373
301,5576814
232,2247806
238,2090547
300,5089009
296,10826392
293,10205994
150,3031
292,3031
228,3031
297,3031
273,11075844
295,7731803
307,16201110
305,26519115
310,37665201
312,2605755
271,2355137
273,4811679
269,7607275
279,5352725
289,25825160
464,7653
254,7653
227,7653
176,7653
201,6883164
171,3175605
301,4978493
231,4015805
302,3398339
296,4850572
275,4273363
308,5028255
308,6332635
248,4756973
241,3842089
238,4014860
242,3873418
244,4089780
239,5535497
240,4959173
243,2721017
240,3070160
242,3184882
243,3352284
247,3047791
242,5219461
237,4782593
240,3957781
241,4863538
244,3426286
244,4470586
241,5170909
292,4860208
279,3458767
190,3885340
287,3449554
285,3524415
273,3175233
182,1799
201,1799
202,1799
202,1799
220,6242261
292,4300389
292,2493029
298,6131196
307,2505209
296,4479
225,4479
239,4479
231,4479
470,7745
194,7745
186,7745
239,7745
321,3473
318,3473
325,3473
318,3473
454,6451
457,6451
451,6451
450,6451
327,3643
161,3643
121,3643
123,3643
71.9,10063
65.7,10063
64.0,10063
66.8,10063
94.3,1993
95.4,1993
96.0,1993
95.2,1993
348,4213
178,4213
178,4213
174,4213
219,6241
220,6241
221,6241
443,6241
221,14327
231,14327
107,14327
108,14327
148,3031
152,3031
151,3031
123,3031
203,7653
196,7653
196,7653
196,7653
84.1,1799
84.3,1799
73.7,1799
78.0,1799
