MBs,B
141,13486
23.7,1141
23.3,1397
55.7,5424835
46.8,16357867
14.0,7861333
24.4,6974236
27.4,7662404
27.8,7923478
27.4,10633509
31.7,13729778
13.8,7838500
19.0,4810565
20.3,10111920
13.7,4558553
36.3,9976441
22.9,10160193
18.8,7107280
27.1,7567859
27.5,16325005
14.7,6511116
9.50,2511
14.1,4311383
31.7,7942945
23.9,9051592
29.2,12287734
12.3,4473577
20.6,4772259
16.4,6447635
27.7,8454877
17.4,5553405
42.7,8318593
12.3,3679049
60.4,11174036
9.80,4463319
21.5,8885711
17.9,5358427
25.7,7882696
19.2,6022565
36.8,11246146
26.2,11956490
19.8,10969834
9.42,3605198
17.2,7174449
37.2,10977417
13.1,9053549
28.8,8834407
25.8,8343320
35.5,11279495
26.0,14491458
6.71,3472821
54.4,5951879
35.1,12940109
17.1,9867931
38.2,20475364
12.7,7174449
12.2,1034
37.3,15013934
14.0,9761252
30.2,14054063
24.0,16261356
19.3,11216107
27.9,11254967
24.8,10959658
5.15,8578764
6.45,3345638
58.4,12158198
19.8,9407933
25.7,9830707
41.0,19159417
29.4,2059
6.28,4315449
10.5,4189449
34.5,7005099
18.9,5421089
24.2,9145561
22.2,6059910
38.4,14663718
30.4,18054703
2.86,1326893
53.5,11959329
17.9,8005769
22.6,7298814
30.3,6758376
31.7,9639353
45.8,27633940
7.25,8820005
30.3,9881016
25.0,9578016
19.1,6191501
32.2,11011292
21.8,8134492
6.22,4186767
4.02,6130909
13.3,5705333
32.7,8344490
18.3,8511162
19.4,4015806
52.3,6459163
10.5,1111
20.6,6435467
19.7,4513622
19.2,3940373
30.7,8513457
28.9,7072209
31.9,8778977
35.4,13805579
17.5,6956076
55.2,16882237
14.4,7222790
13.8,2141421
33.8,7770878
7.20,5236780
19.7,6663490
29.4,3292
3.53,547296
52.4,2444515
46.4,2368882
15.6,2684889
10.7,1450942
53.6,3049962
12.1,2476772
18.2,3294546
6.41,1215395
45.2,2076349
16.5,2857306
7.61,1364919
55.2,4550097
11.0,4109647
44.4,3112704
9.30,1888739
15.3,4160111
53.5,5360757
13.8,3393214
45.1,3561759
35.3,7808195
6.11,1891498
48.0,4034381
15.1,2726270
58.1,13487141
3.56,1561988
41.0,3029263
10.7,2137397
8.94,1277861
58.6,6758291
5.93,1316993
83.2,1579282
53.5,2441370
8.65,1326569
43.7,2227292
21.8,4652587
12.0,2216240
19.3,2654259
20.0,3195018
13.2,1724214
21.8,5105434
8.53,1451422
54.0,4094341
12.4,2593409
38.5,2150370
14.2,2092683
28.6,533
27.1,7467893
7.38,3256010
57.0,6726672
18.0,4499824
19.8,4573935
27.8,6449887
18.9,1292
30.7,11218172
31.1,15510123
18.7,10099693
32.1,13405287
16.8,6371783
30.7,14938571
14.9,7461921
28.1,7644979
30.6,8136050
14.3,4535204
13.3,5122729
40.6,15157725
24.0,12972000
18.1,8856839
25.0,6851503
23.7,5392165
21.0,4115714
20.6,1986
51.9,18518896
20.0,13131095
19.5,8036633
19.1,7012811
27.3,9990477
9.01,2667593
42.0,2389041
15.3,2362193
15.6,7451784
28.8,9216932
6.74,2009382
56.2,11085774
13.1,3710596
26.0,5535280
16.8,2852368
30.8,12686526
7.56,2335130
33.1,8229195
9.35,2313459
66.7,11701381
24.0,9494186
19.9,8136201
27.8,7368493
25.1,6463490
22.2,6899085
23.1,5279987
16.0,5501282
28.2,4738
16.8,6555901
15.7,3910341
59.0,5954043
9.74,1949704
30.9,9585288
16.5,5246400
14.6,2861142
27.6,5809691
28.8,7661563
8.35,2543331
36.1,1495710
43.5,2073425
13.0,1937904
31.4,5010602
14.3,2790717
35.0,2811509
14.1,1774806
8.72,2030943
29.5,5159679
21.0,4597479
27.1,9114492
4.95,1604966
15.1,5157368
6.10,3195000
43.8,5407120
15.9,4122383
41.3,12010984
10.2,3473077
27.3,5213819
18.2,4645145
37.9,9165021
19.9,6396654
30.2,7802598
8.38,2410659
42.1,2508500
55.6,16826653
3.65,1756446
44.4,4269979
20.3,4245534
23.6,4661272
19.1,3300163
18.3,5460158
10.8,2416096
62.3,7854194
11.1,5980394
29.4,7640301
33.3,10586158
14.3,3978012
13.9,1956796
36.2,8038934
24.8,8279901
25.7,6582077
23.9,5823932
7.34,1668663
34.1,1539763
48.6,2266691
27.0,3365903
48.0,6474636
12.5,4439984
29.7,1796321
16.1,2796373
32.8,5576814
11.7,2247806
12.3,2090547
48.8,5089009
5.87,10826392
23.5,10205994
28.4,891
51.3,11075844
20.1,7731803
40.7,16201110
33.2,26519115
35.8,37665201
3.29,2605755
6.70,2355137
49.4,4811679
10.5,7607275
21.4,5352725
53.7,25825160
24.6,2465
11.4,6883164
12.9,3175605
26.6,4978493
17.8,4015805
26.3,3398339
21.2,4850572
20.3,4273363
20.3,5028255
24.0,6332635
20.0,4756973
21.4,3842089
18.9,4014860
18.5,3873418
19.2,4089780
32.7,5535497
15.6,4959173
16.1,2721017
47.0,3070160
19.5,3184882
9.11,3352284
41.7,3047791
28.8,5219461
23.0,4782593
14.7,3957781
24.3,4863538
13.7,3426286
46.6,4470586
22.1,5170909
17.3,4860208
44.7,3458767
11.2,3885340
20.4,3449554
19.2,3524415
16.7,3175233
14.4,469
29.8,6242261
14.1,4300389
35.2,2493029
28.8,6131196
11.6,2505209
