MBs,B
7.85,13486
14.5,1141
9.37,1397
62.3,5424835
48.5,16357867
13.2,7861333
24.4,6974236
28.6,7662404
27.7,7923478
25.2,10633509
30.0,13729778
17.4,7838500
21.9,4810565
33.9,10111920
7.57,4558553
58.7,9976441
21.2,10160193
7.57,7107280
23.7,7567859
33.7,16325005
13.4,6511116
9.49,2511
19.2,4311383
33.1,7942945
23.9,9051592
32.8,12287734
4.18,4473577
22.8,4772259
57.1,6447635
18.1,8454877
21.3,5553405
42.3,8318593
10.6,3679049
64.2,11174036
11.5,4463319
32.4,8885711
15.6,5358427
27.9,7882696
18.4,6022565
35.7,11246146
8.70,11956490
16.6,10969834
6.58,3605198
18.7,7174449
28.2,10977417
23.3,9053549
25.9,8834407
29.0,8343320
18.5,11279495
30.6,14491458
8.37,3472821
54.4,5951879
33.0,12940109
7.80,9867931
31.0,20475364
11.1,7174449
17.9,1034
42.3,15013934
15.8,9761252
29.7,14054063
24.5,16261356
18.0,11216107
25.0,11254967
24.1,10959658
21.6,8578764
8.11,3345638
61.7,12158198
20.8,9407933
22.9,9830707
40.9,19159417
12.9,2059
14.8,4315449
26.9,4189449
30.9,7005099
8.07,5421089
30.3,9145561
11.2,6059910
28.8,14663718
19.8,18054703
3.26,1326893
59.8,11959329
20.6,8005769
26.5,7298814
20.6,6758376
26.6,9639353
48.5,27633940
5.55,8820005
12.0,9881016
18.7,9578016
22.4,6191501
30.2,11011292
18.5,8134492
16.9,4186767
23.9,6130909
13.9,5705333
29.0,8344490
23.8,8511162
16.6,4015806
47.9,6459163
5.09,1111
66.1,6435467
22.0,4513622
44.5,3940373
35.3,8513457
24.4,7072209
31.9,8778977
30.9,13805579
17.0,6956076
48.5,16882237
15.1,7222790
10.7,2141421
56.3,7770878
21.1,5236780
30.0,6663490
186,3292
14.8,547296
51.4,2444515
16.5,2368882
19.5,2684889
10.7,1450942
20.4,3049962
15.7,2476772
20.8,3294546
6.89,1215395
45.6,2076349
24.8,2857306
7.63,1364919
64.3,4550097
20.6,4109647
17.8,3112704
8.86,1888739
47.9,4160111
31.5,5360757
13.8,3393214
38.5,3561759
21.0,7808195
9.77,1891498
48.2,4034381
16.2,2726270
64.7,13487141
4.20,1561988
41.4,3029263
35.4,2137397
7.68,1277861
58.8,6758291
5.59,1316993
84.4,1579282
53.6,2441370
10.2,1326569
43.9,2227292
24.4,4652587
12.0,2216240
47.3,2654259
17.5,3195018
10.5,1724214
30.9,5105434
6.70,1451422
53.6,4094341
14.9,2593409
11.7,2150370
38.8,2092683
23.2,533
65.9,7467893
13.4,3256010
33.9,6726672
19.8,4499824
24.7,4573935
31.0,6449887
11.3,1292
26.5,11218172
33.4,15510123
21.5,10099693
35.0,13405287
15.8,6371783
44.4,14938571
18.2,7461921
22.3,7644979
25.2,8136050
19.2,4535204
46.9,5122729
35.4,15157725
24.0,12972000
21.7,8856839
19.2,6851503
22.5,5392165
22.3,4115714
11.0,1986
73.2,18518896
22.0,13131095
19.5,8036633
29.4,7012811
29.3,9990477
8.62,2667593
41.2,2389041
15.2,2362193
69.2,7451784
14.6,9216932
10.9,2009382
59.6,11085774
10.9,3710596
46.4,5535280
11.8,2852368
62.7,12686526
6.73,2335130
68.0,8229195
12.2,2313459
35.9,11701381
23.2,9494186
27.8,8136201
27.9,7368493
24.0,6463490
26.1,6899085
22.2,5279987
23.0,5501282
223,4738
56.8,6555901
5.22,3910341
58.9,5954043
9.24,1949704
60.3,9585288
15.4,5246400
16.6,2861142
31.1,5809691
26.5,7661563
12.1,2543331
36.0,1495710
43.6,2073425
14.2,1937904
24.2,5010602
16.2,2790717
80.8,2811509
14.0,1774806
13.3,2030943
29.5,5159679
18.1,4597479
38.7,9114492
8.18,1604966
48.5,5157368
13.8,3195000
48.5,5407120
21.8,4122383
28.8,12010984
9.90,3473077
15.8,5213819
25.1,4645145
52.5,9165021
20.8,6396654
30.2,7802598
11.7,2410659
35.2,2508500
49.8,16826653
4.41,1756446
44.5,4269979
18.3,4245534
30.4,4661272
19.1,3300163
28.1,5460158
12.0,2416096
62.5,7854194
18.7,5980394
29.3,7640301
33.6,10586158
12.3,3978012
6.44,1956796
61.9,8038934
26.8,8279901
19.4,6582077
22.8,5823932
9.26,1668663
34.6,1539763
49.0,2266691
22.8,3365903
32.8,6474636
18.6,4439984
11.7,1796321
47.8,2796373
26.2,5576814
16.1,2247806
37.9,2090547
29.0,5089009
29.5,10826392
30.0,10205994
10.2,891
28.5,11075844
23.7,7731803
39.5,16201110
36.5,26519115
34.3,37665201
4.97,2605755
12.5,2355137
55.8,4811679
29.7,7607275
18.0,5352725
52.6,25825160
123,2465
16.2,6883164
18.0,3175605
30.7,4978493
11.8,4015805
18.0,3398339
22.3,4850572
18.2,4273363
51.9,5028255
34.1,6332635
16.1,4756973
44.9,3842089
11.1,4014860
25.5,3873418
23.0,4089780
56.6,5535497
18.2,4959173
15.1,2721017
47.9,3070160
19.6,3184882
22.7,3352284
18.3,3047791
27.1,5219461
22.9,4782593
18.7,3957781
25.8,4863538
15.9,3426286
25.5,4470586
29.1,5170909
17.4,4860208
44.5,3458767
19.7,3885340
23.6,3449554
16.9,3524415
11.6,3175233
55.3,469
58.5,6242261
22.0,4300389
9.31,2493029
32.2,6131196
7.31,2505209
