MBs,B
244,3636
16.6,148
263,3636
324,3636
343,3636
349,3636
33.9,216
240,11510
13.7,225
393,4479
482,7745
353,3473
444,6451
355,3643
178,10063
249,1993
398,4213
492,6241
229,14327
109,3031
190,7653
226,1799
364,3636
337,3636
332,3636
317,3636
247,3404
294,4479
287,4479
192,4479
180,4479
31.2,221
293,5424835
283,16357867
280,7861333
222,6974236
279,7662404
290,7923478
292,10633509
281,13729778
293,7838500
256,4810565
312,10111920
287,4558553
276,9976441
313,10160193
305,7107280
303,7567859
282,16325005
222,6511116
423,7745
433,7745
487,7745
488,7745
282,4311383
307,7942945
305,9051592
288,12287734
282,4473577
297,4772259
302,6447635
302,8454877
313,5553405
298,8318593
300,3679049
306,11174036
293,4463319
284,8885711
295,5358427
232,7882696
307,6022565
304,11246146
303,11956490
310,10969834
201,3605198
231,7174449
283,10977417
280,9053549
303,8834407
297,8343320
226,11279495
240,14491458
235,3472821
246,5951879
241,12940109
236,9867931
254,20475364
248,7174449
306,3473
306,3473
305,3473
310,3473
233,15013934
245,9761252
313,14054063
316,16261356
299,11216107
300,11254967
301,10959658
284,8578764
205,3345638
286,12158198
252,9407933
243,9830707
301,19159417
357,6451
421,6451
160,6451
128,6451
211,4315449
304,4189449
282,7005099
293,5421089
299,9145561
297,6059910
298,14663718
305,18054703
217,1326893
262,11959329
279,8005769
316,7298814
226,6758376
270,9639353
303,27633940
285,8820005
281,9881016
301,9578016
314,6191501
302,11011292
288,8134492
292,4186767
294,6130909
285,5705333
282,8344490
281,8511162
278,4015806
292,6459163
362,3643
362,3643
361,3643
366,3643
331,6435467
289,4513622
309,3940373
308,8513457
327,7072209
290,8778977
186,13805579
186,6956076
312,16882237
317,7222790
323,2141421
283,7770878
286,5236780
289,6663490
137,10063
161,10063
163,10063
147,10063
294,547296
288,2444515
294,2368882
292,2684889
294,1450942
295,3049962
287,2476772
291,3294546
292,1215395
291,2076349
290,2857306
296,1364919
288,4550097
290,4109647
287,3112704
293,1888739
314,4160111
314,5360757
310,3393214
313,3561759
311,7808195
313,1891498
314,4034381
304,2726270
313,13487141
301,1561988
289,3029263
313,2137397
269,1277861
306,6758291
314,1316993
317,1579282
314,2441370
311,1326569
320,2227292
316,4652587
175,2216240
289,2654259
309,3195018
315,1724214
329,5105434
317,1451422
314,4094341
320,2593409
317,2150370
289,2092683
219,1993
221,1993
224,1993
212,1993
298,7467893
271,3256010
288,6726672
278,4499824
298,4573935
302,6449887
367,4213
389,4213
387,4213
362,4213
260,11218172
291,15510123
299,10099693
297,13405287
242,6371783
247,14938571
240,7461921
234,7644979
308,8136050
302,4535204
295,5122729
298,15157725
314,12972000
303,8856839
238,6851503
280,5392165
289,4115714
404,6241
441,6241
442,6241
447,6241
294,18518896
311,13131095
307,8036633
244,7012811
240,9990477
239,2667593
239,2389041
251,2362193
244,7451784
247,9216932
191,2009382
272,11085774
228,3710596
165,5535280
160,2852368
165,12686526
192,2335130
201,8229195
201,2313459
293,11701381
288,9494186
285,8136201
282,7368493
332,6463490
313,6899085
322,5279987
323,5501282
70.2,14327
209,14327
203,14327
137,14327
313,6555901
304,3910341
314,5954043
194,1949704
222,9585288
193,5246400
173,2861142
302,5809691
307,7661563
243,2543331
260,1495710
245,2073425
243,1937904
239,5010602
171,2790717
313,2811509
302,1774806
314,2030943
266,5159679
298,4597479
297,9114492
284,1604966
282,5157368
282,3195000
269,5407120
307,4122383
291,12010984
217,3473077
309,5213819
322,4645145
287,9165021
310,6396654
313,7802598
344,2410659
301,2508500
281,16826653
249,1756446
322,4269979
235,4245534
245,4661272
243,3300163
248,5460158
242,2416096
241,7854194
240,5980394
249,7640301
242,10586158
244,3978012
242,1956796
236,8038934
267,8279901
312,6582077
315,5823932
310,1668663
316,1539763
316,2266691
313,3365903
313,6474636
314,4439984
317,1796321
319,2796373
312,5576814
309,2247806
321,2090547
314,5089009
310,10826392
308,10205994
163,3031
276,3031
290,3031
298,3031
316,11075844
317,7731803
308,16201110
302,26519115
300,37665201
310,2605755
316,2355137
316,4811679
296,7607275
307,5352725
315,25825160
319,7653
481,7653
501,7653
495,7653
313,6883164
317,3175605
309,4978493
314,4015805
314,3398339
294,4850572
294,4273363
309,5028255
314,6332635
311,4756973
311,3842089
317,4014860
317,3873418
310,4089780
311,5535497
321,4959173
315,2721017
317,3070160
318,3184882
315,3352284
319,3047791
317,5219461
311,4782593
315,3957781
211,4863538
197,3426286
230,4470586
224,5170909
318,4860208
316,3458767
318,3885340
320,3449554
317,3524415
320,3175233
237,1799
234,1799
236,1799
228,1799
314,6242261
322,4300389
318,2493029
319,6131196
310,2505209
403,4479
384,4479
358,4479
389,4479
486,7745
507,7745
521,7745
524,7745
321,3473
323,3473
362,3473
359,3473
490,6451
495,6451
461,6451
489,6451
359,3643
314,3643
364,3643
366,3643
127,10063
163,10063
180,10063
164,10063
223,1993
220,1993
252,1993
250,1993
366,4213
365,4213
373,4213
396,4213
482,6241
480,6241
325,6241
460,6241
232,14327
196,14327
235,14327
236,14327
322,3031
266,3031
307,3031
309,3031
498,7653
501,7653
514,7653
521,7653
219,1799
211,1799
213,1799
207,1799
