MBs,B
18.2,13486
53.4,1141
7.28,1397
56.0,5424835
42.7,16357867
6.20,7861333
24.4,6974236
30.0,7662404
29.3,7923478
27.8,10633509
26.8,13729778
20.1,7838500
23.5,4810565
27.7,10111920
16.0,4558553
36.4,9976441
25.8,10160193
19.9,7107280
32.7,7567859
39.5,16325005
11.7,6511116
11.6,2511
26.2,4311383
37.3,7942945
21.4,9051592
35.4,12287734
13.2,4473577
14.7,4772259
57.2,6447635
25.9,8454877
24.8,5553405
40.4,8318593
16.1,3679049
39.1,11174036
13.1,4463319
62.9,8885711
19.8,5358427
37.0,7882696
24.8,6022565
34.8,11246146
29.5,11956490
25.9,10969834
11.6,3605198
58.2,7174449
36.2,10977417
25.0,9053549
21.6,8834407
31.7,8343320
32.3,11279495
30.9,14491458
5.91,3472821
54.7,5951879
37.7,12940109
23.2,9867931
38.4,20475364
15.3,7174449
204,1034
33.7,15013934
21.0,9761252
35.8,14054063
27.4,16261356
22.7,11216107
28.1,11254967
23.0,10959658
23.0,8578764
16.6,3345638
55.8,12158198
23.6,9407933
25.0,9830707
40.0,19159417
89.3,2059
48.3,4315449
25.1,4189449
32.6,7005099
19.7,5421089
33.4,9145561
21.3,6059910
43.7,14663718
30.4,18054703
3.70,1326893
37.8,11959329
25.1,8005769
26.5,7298814
21.3,6758376
31.6,9639353
49.6,27633940
12.3,8820005
26.5,9881016
29.5,9578016
12.5,6191501
34.8,11011292
20.7,8134492
17.7,4186767
23.7,6130909
12.9,5705333
34.2,8344490
28.3,8511162
18.4,4015806
47.9,6459163
50.9,1111
59.2,6435467
19.8,4513622
44.3,3940373
32.1,8513457
24.4,7072209
30.6,8778977
41.4,13805579
19.2,6956076
35.4,16882237
15.8,7222790
15.0,2141421
35.6,7770878
21.0,5236780
26.1,6663490
350,3292
4.82,547296
52.6,2444515
46.0,2368882
19.3,2684889
9.85,1450942
53.2,3049962
16.9,2476772
20.8,3294546
7.37,1215395
44.7,2076349
19.1,2857306
8.73,1364919
43.4,4550097
20.8,4109647
17.6,3112704
11.3,1888739
55.5,4160111
23.5,5360757
15.2,3393214
38.9,3561759
32.1,7808195
9.21,1891498
48.0,4034381
14.2,2726270
35.1,13487141
4.84,1561988
35.5,3029263
35.7,2137397
9.71,1277861
39.0,6758291
6.65,1316993
84.5,1579282
54.2,2441370
10.2,1326569
16.9,2227292
24.4,4652587
10.5,2216240
47.5,2654259
21.6,3195018
13.3,1724214
29.0,5105434
6.71,1451422
47.0,4094341
16.0,2593409
37.5,2150370
15.3,2092683
26.8,533
60.0,7467893
13.3,3256010
57.8,6726672
15.1,4499824
26.3,4573935
50.8,6449887
10.3,1292
63.0,11218172
29.8,15510123
22.1,10099693
35.9,13405287
17.3,6371783
44.5,14938571
18.8,7461921
25.8,7644979
24.3,8136050
18.3,4535204
51.3,5122729
36.5,15157725
25.7,12972000
21.6,8856839
27.3,6851503
12.6,5392165
13.6,4115714
4.83,1986
70.9,18518896
23.4,13131095
17.9,8036633
31.0,7012811
28.3,9990477
11.7,2667593
42.1,2389041
16.6,2362193
31.7,7451784
30.0,9216932
7.98,2009382
59.8,11085774
12.1,3710596
27.5,5535280
13.1,2852368
62.1,12686526
7.50,2335130
34.7,8229195
11.4,2313459
26.3,11701381
22.6,9494186
26.8,8136201
26.7,7368493
25.1,6463490
28.6,6899085
24.5,5279987
26.9,5501282
11.4,4738
66.5,6555901
18.3,3910341
58.6,5954043
10.4,1949704
38.1,9585288
7.85,5246400
17.8,2861142
24.9,5809691
27.6,7661563
12.0,2543331
37.2,1495710
43.6,2073425
13.0,1937904
27.4,5010602
12.8,2790717
21.5,2811509
13.1,1774806
43.5,2030943
23.2,5159679
22.2,4597479
35.8,9114492
6.32,1604966
53.3,5157368
18.3,3195000
26.7,5407120
16.6,4122383
65.1,12010984
10.2,3473077
25.7,5213819
19.1,4645145
39.4,9165021
15.1,6396654
30.2,7802598
11.1,2410659
42.1,2508500
49.9,16826653
4.23,1756446
51.6,4269979
11.1,4245534
20.0,4661272
17.8,3300163
48.5,5460158
9.78,2416096
14.1,7854194
19.5,5980394
25.9,7640301
34.9,10586158
16.3,3978012
12.7,1956796
38.2,8038934
24.9,8279901
14.1,6582077
23.9,5823932
10.7,1668663
34.9,1539763
48.8,2266691
21.2,3365903
31.0,6474636
17.7,4439984
11.7,1796321
21.8,2796373
29.4,5576814
13.4,2247806
11.5,2090547
48.6,5089009
33.8,10826392
31.0,10205994
24.4,891
53.5,11075844
22.9,7731803
43.3,16201110
33.3,26519115
35.9,37665201
3.41,2605755
48.1,2355137
30.9,4811679
24.2,7607275
21.2,5352725
52.5,25825160
20.0,2465
18.7,6883164
16.0,3175605
47.6,4978493
17.8,4015805
24.2,3398339
21.2,4850572
20.3,4273363
23.5,5028255
25.1,6332635
20.9,4756973
44.8,3842089
11.9,4014860
27.8,3873418
20.3,4089780
27.1,5535497
23.3,4959173
16.2,2721017
40.3,3070160
10.1,3184882
42.3,3352284
19.7,3047791
30.7,5219461
18.8,4782593
47.2,3957781
21.8,4863538
14.4,3426286
54.2,4470586
22.0,5170909
19.9,4860208
44.7,3458767
11.1,3885340
17.0,3449554
25.7,3524415
17.8,3175233
29.7,469
29.7,6242261
18.3,4300389
35.7,2493029
28.8,6131196
12.2,2505209
