MBs,B
246,3636
21.7,148
318,3636
322,3636
284,3636
299,3636
31.6,216
234,11510
20.4,225
204,4479
458,7745
328,3473
434,6451
316,3643
167,10063
103,1993
368,4213
451,6241
67.6,14327
104,3031
186,7653
73.3,1799
119,3636
120,3636
120,3636
120,3636
115,3404
137,4479
205,4479
232,4479
227,4479
10.7,221
257,5424835
320,16357867
316,7861333
245,6974236
238,7662404
265,7923478
303,10633509
294,13729778
311,7838500
284,4810565
283,10111920
297,4558553
312,9976441
311,10160193
307,7107280
306,7567859
259,16325005
239,6511116
471,7745
442,7745
483,7745
500,7745
312,4311383
295,7942945
314,9051592
315,12287734
316,4473577
327,4772259
204,6447635
232,8454877
190,5553405
257,8318593
193,3679049
189,11174036
315,4463319
290,8885711
285,5358427
303,7882696
303,6022565
299,11246146
287,11956490
314,10969834
4.90,3605198
229,7174449
287,10977417
292,9053549
290,8834407
293,8343320
291,11279495
287,14491458
321,3472821
277,5951879
317,12940109
274,9867931
298,20475364
309,7174449
324,3473
333,3473
334,3473
315,3473
328,15013934
325,9761252
294,14054063
294,16261356
313,11216107
317,11254967
294,10959658
312,8578764
318,3345638
314,12158198
309,9407933
245,9830707
250,19159417
428,6451
437,6451
432,6451
433,6451
206,4315449
241,4189449
240,7005099
249,5421089
248,9145561
310,6059910
318,14663718
326,18054703
235,1326893
304,11959329
330,8005769
319,7298814
288,6758376
317,9639353
284,27633940
312,8820005
311,9881016
286,9578016
288,6191501
289,11011292
283,8134492
283,4186767
277,6130909
296,5705333
297,8344490
301,8511162
322,4015806
316,6459163
232,3643
211,3643
212,3643
209,3643
292,6435467
294,4513622
289,3940373
308,8513457
307,7072209
256,8778977
315,13805579
317,6956076
310,16882237
279,7222790
281,2141421
291,7770878
194,5236780
301,6663490
119,10063
137,10063
134,10063
140,10063
236,547296
260,2444515
253,2368882
250,2684889
246,1450942
253,3049962
246,2476772
245,3294546
241,1215395
243,2076349
247,2857306
251,1364919
246,4550097
246,4109647
250,3112704
250,1888739
249,4160111
251,5360757
241,3393214
246,3561759
242,7808195
253,1891498
245,4034381
244,2726270
249,13487141
246,1561988
247,3029263
250,2137397
254,1277861
253,6758291
243,1316993
247,1579282
249,2441370
255,1326569
251,2227292
249,4652587
277,2216240
284,2654259
248,3195018
253,1724214
328,5105434
326,1451422
319,4094341
319,2593409
316,2150370
311,2092683
232,1993
215,1993
235,1993
225,1993
317,7467893
316,3256010
318,6726672
321,4499824
320,4573935
220,6449887
348,4213
355,4213
354,4213
344,4213
313,11218172
319,15510123
317,10099693
268,13405287
301,6371783
286,14938571
287,7461921
288,7644979
288,8136050
290,4535204
288,5122729
278,15157725
282,12972000
282,8856839
241,6851503
240,5392165
232,4115714
263,6241
439,6241
452,6241
339,6241
291,18518896
290,13131095
290,8036633
301,7012811
285,9990477
313,2667593
320,2389041
314,2362193
290,7451784
295,9216932
281,2009382
307,11085774
299,3710596
306,5535280
302,2852368
300,12686526
316,2335130
5.58,8229195
302,2313459
277,11701381
315,9494186
288,8136201
272,7368493
313,6463490
284,6899085
310,5279987
319,5501282
183,14327
219,14327
219,14327
235,14327
314,6555901
336,3910341
317,5954043
232,1949704
286,9585288
196,5246400
320,2861142
280,5809691
282,7661563
190,2543331
188,1495710
312,2073425
312,1937904
317,5010602
281,2790717
285,2811509
224,1774806
277,2030943
278,5159679
278,4597479
275,9114492
229,1604966
215,5157368
304,3195000
297,5407120
316,4122383
306,12010984
323,3473077
314,5213819
222,4645145
278,9165021
279,6396654
315,7802598
320,2410659
312,2508500
293,16826653
280,1756446
299,4269979
296,4245534
310,4661272
317,3300163
301,5460158
289,2416096
302,7854194
302,5980394
312,7640301
314,10586158
222,3978012
296,1956796
291,8038934
288,8279901
280,6582077
280,5823932
277,1668663
280,1539763
278,2266691
278,3365903
280,6474636
279,4439984
285,1796321
280,2796373
280,5576814
279,2247806
321,2090547
274,5089009
283,10826392
314,10205994
280,3031
310,3031
219,3031
296,3031
314,11075844
250,7731803
285,16201110
280,26519115
317,37665201
309,2605755
310,2355137
280,4811679
267,7607275
293,5352725
246,25825160
171,7653
228,7653
335,7653
327,7653
225,6883164
336,3175605
295,4978493
317,4015805
292,3398339
280,4850572
281,4273363
280,5028255
286,6332635
307,4756973
295,3842089
325,4014860
319,3873418
319,4089780
318,5535497
300,4959173
309,2721017
307,3070160
290,3184882
286,3352284
241,3047791
253,5219461
311,4782593
306,3957781
287,4863538
320,3426286
311,4470586
316,5170909
317,4860208
319,3458767
315,3885340
314,3449554
283,3524415
277,3175233
183,1799
208,1799
201,1799
195,1799
286,6242261
287,4300389
316,2493029
296,6131196
330,2505209
292,4479
368,4479
371,4479
357,4479
486,7745
493,7745
492,7745
504,7745
325,3473
331,3473
307,3473
324,3473
453,6451
457,6451
452,6451
451,6451
329,3643
328,3643
328,3643
332,3643
160,10063
178,10063
177,10063
187,10063
220,1993
224,1993
223,1993
225,1993
364,4213
364,4213
393,4213
371,4213
452,6241
488,6241
492,6241
478,6241
229,14327
231,14327
244,14327
242,14327
157,3031
328,3031
328,3031
334,3031
534,7653
529,7653
523,7653
319,7653
231,1799
219,1799
67.5,1799
218,1799
