MBs,B
688,3635
54.3,148
1006,3635
813,3635
807,3635
1.22,3635
57.1,216
492,11510
18.1,225
1.44,4478
1.56,7744
1.12,3472
1.32,6450
808,3642
208,10062
441,1992
912,4212
1.25,6240
194,14326
718,3030
1.49,7652
382,1798
491,3635
493,3635
475,3635
492,3635
425,3404
552,4478
412,4478
596,4478
370,4478
31.5,221
399,5424835
552,16357867
590,7861333
564,6974236
566,7662404
575,7923478
559,10633509
569,13729778
558,7838500
512,4810565
579,10111920
584,4558553
482,9976441
556,10160193
575,7107280
568,7567859
536,16325005
582,6511116
2.01,7744
1.17,7744
251,7744
2.14,7744
289,4311383
338,7942945
571,9051592
566,12287734
514,4473577
504,4772259
488,6447635
542,8454877
581,5553405
583,8318593
579,3679049
562,11174036
589,4463319
495,8885711
527,5358427
521,7882696
538,6022565
575,11246146
505,11956490
519,10969834
511,3605198
416,7174449
500,10977417
489,9053549
524,8834407
563,8343320
550,11279495
477,14491458
446,3472821
598,5951879
519,12940109
585,9867931
573,20475364
555,7174449
863,3472
922,3472
1.08,3472
1.09,3472
435,15013934
588,9761252
565,14054063
558,16261356
491,11216107
589,11254967
390,10959658
488,8578764
490,3345638
577,12158198
417,9407933
431,9830707
542,19159417
683,6450
739,6450
1.74,6450
1.95,6450
422,4315449
576,4189449
529,7005099
553,5421089
403,9145561
433,6059910
556,14663718
541,18054703
599,1326893
505,11959329
474,8005769
546,7298814
524,6758376
554,9639353
524,27633940
558,8820005
561,9881016
556,9578016
479,6191501
528,11011292
486,8134492
553,4186767
374,6130909
479,5705333
498,8344490
540,8511162
518,4015806
576,6459163
310,3642
1.38,3642
1.33,3642
1.26,3642
513,6435467
473,4513622
567,3940373
462,8513457
573,7072209
578,8778977
515,13805579
432,6956076
559,16882237
588,7222790
607,2141421
578,7770878
573,5236780
525,6663490
213,10062
300,10062
310,10062
307,10062
540,547296
556,2444515
413,2368882
577,2684889
567,1450942
521,3049962
498,2476772
471,3294546
529,1215395
459,2076349
368,2857306
528,1364919
411,4550097
425,4109647
547,3112704
510,1888739
386,4160111
518,5360757
508,3393214
429,3561759
418,7808195
470,1891498
501,4034381
482,2726270
350,13487141
321,1561988
417,3029263
397,2137397
541,1277861
525,6758291
462,1316993
426,1579282
332,2441370
404,1326569
570,2227292
440,4652587
492,2216240
238,2654259
291,3195018
479,1724214
324,5105434
582,1451422
521,4094341
598,2593409
605,2150370
555,2092683
480,1992
484,1992
368,1992
480,1992
372,7467893
344,3256010
577,6726672
323,4499824
441,4573935
381,6449887
349,4212
328,4212
496,4212
1.28,4212
489,11218172
522,15510123
549,10099693
561,13405287
405,6371783
423,14938571
594,7461921
567,7644979
565,8136050
488,4535204
497,5122729
541,15157725
578,12972000
452,8856839
521,6851503
575,5392165
549,4115714
2.24,6240
2.15,6240
1.86,6240
1.92,6240
526,18518896
499,13131095
565,8036633
574,7012811
527,9990477
575,2667593
476,2389041
498,2362193
469,7451784
564,9216932
567,2009382
481,11085774
488,3710596
493,5535280
570,2852368
530,12686526
324,2335130
580,8229195
593,2313459
575,11701381
511,9494186
586,8136201
573,7368493
543,6463490
570,6899085
506,5279987
588,5501282
366,14326
426,14326
439,14326
423,14326
399,6555901
417,3910341
585,5954043
543,1949704
530,9585288
564,5246400
571,2861142
587,5809691
573,7661563
586,2543331
598,1495710
576,2073425
542,1937904
479,5010602
557,2790717
579,2811509
578,1774806
574,2030943
587,5159679
494,4597479
567,9114492
593,1604966
488,5157368
586,3195000
622,5407120
491,4122383
560,12010984
588,3473077
595,5213819
426,4645145
556,9165021
491,6396654
521,7802598
587,2410659
609,2508500
572,16826653
603,1756446
587,4269979
597,4245534
588,4661272
603,3300163
609,5460158
549,2416096
580,7854194
554,5980394
563,7640301
566,10586158
574,3978012
565,1956796
529,8038934
591,8279901
580,6582077
569,5823932
585,1668663
612,1539763
578,2266691
571,3365903
594,6474636
592,4439984
613,1796321
609,2796373
388,5576814
385,2247806
501,2090547
537,5089009
511,10826392
479,10205994
747,3030
977,3030
755,3030
831,3030
500,11075844
515,7731803
430,16201110
491,26519115
486,37665201
458,2605755
563,2355137
551,4811679
561,7607275
532,5352725
509,25825160
2.01,7652
1.56,7652
1.58,7652
1.62,7652
416,6883164
602,3175605
547,4978493
564,4015805
558,3398339
577,4850572
570,4273363
568,5028255
565,6332635
591,4756973
583,3842089
580,4014860
592,3873418
564,4089780
582,5535497
554,4959173
493,2721017
609,3070160
583,3184882
581,3352284
295,3047791
560,5219461
473,4782593
549,3957781
581,4863538
581,3426286
574,4470586
602,5170909
607,4860208
590,3458767
580,3885340
591,3449554
452,3524415
533,3175233
463,1798
604,1798
570,1798
613,1798
512,6242261
571,4300389
460,2493029
559,6131196
640,2505209
515,4478
676,4478
508,4478
510,4478
832,7744
611,7744
593,7744
851,7744
422,3472
416,3472
415,3472
528,3472
859,6450
576,6450
622,6450
565,6450
319,3642
461,3642
426,3642
430,3642
103,10062
111,10062
111,10062
208,10062
487,1992
477,1992
514,1992
517,1992
1010,4212
957,4212
1.03,4212
1.03,4212
1.42,6240
1.50,6240
1.39,6240
1.41,6240
203,14326
223,14326
281,14326
290,14326
676,3030
695,3030
727,3030
731,3030
1.64,7652
1.62,7652
1.61,7652
1.65,7652
476,1798
465,1798
458,1798
525,1798
